# Source VNA	Temp 100.0 mK	PDUT -83.0 dBm
# BW 1000 Hz	Points 20001
# LER1942
# PVNA -40 dB	RTAtt -1.0 dB	OutAtt -42 dB
# LNA 35 dB	RTA None dB
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# BBCON not used
#
        Freq(Hz)	          I(S21)	          Q(S21)
1.940261650e+09	5.641951604e-03	2.533588946e-01
1.940261800e+09	5.799221371e-03	2.511233571e-01
1.940261950e+09	7.224902279e-03	2.508772101e-01
1.940262100e+09	5.018305388e-03	2.500744313e-01
1.940262250e+09	7.624674662e-03	2.499851469e-01
1.940262400e+09	6.275403386e-03	2.514686420e-01
1.940262550e+09	3.802771716e-03	2.505259127e-01
1.940262700e+09	6.778409362e-03	2.514373638e-01
1.940262850e+09	5.840585828e-03	2.510205412e-01
1.940263000e+09	5.260944103e-03	2.507583423e-01
1.940263150e+09	7.301473828e-03	2.532297228e-01
1.940263300e+09	5.775085288e-03	2.520965356e-01
1.940263450e+09	5.952964389e-03	2.517108410e-01
1.940263600e+09	7.059215534e-03	2.520580544e-01
1.940263750e+09	6.604796714e-03	2.514171711e-01
1.940263900e+09	6.071173028e-03	2.508231238e-01
1.940264050e+09	6.890126942e-03	2.512377430e-01
1.940264200e+09	7.290990121e-03	2.509140240e-01
1.940264350e+09	5.071445803e-03	2.506517781e-01
1.940264500e+09	7.313070037e-03	2.499721303e-01
1.940264650e+09	7.799758292e-03	2.502802202e-01
1.940264800e+09	4.727847128e-03	2.489792407e-01
1.940264950e+09	6.911130650e-03	2.513905432e-01
1.940265100e+09	5.979336750e-03	2.516172429e-01
1.940265250e+09	6.820091614e-03	2.505376379e-01
1.940265400e+09	7.174011228e-03	2.506472475e-01
1.940265550e+09	6.324034312e-03	2.514876486e-01
1.940265700e+09	8.045372262e-03	2.521751198e-01
1.940265850e+09	6.601845148e-03	2.522505661e-01
1.940266000e+09	6.374444670e-03	2.521302367e-01
1.940266150e+09	6.873459223e-03	2.504242644e-01
1.940266300e+09	5.975830830e-03	2.514568510e-01
1.940266450e+09	7.034075598e-03	2.509425795e-01
1.940266600e+09	5.906849954e-03	2.523145923e-01
1.940266750e+09	5.104365924e-03	2.514261018e-01
1.940266900e+09	4.687211758e-03	2.506697744e-01
1.940267050e+09	8.754092452e-03	2.507469248e-01
1.940267200e+09	6.218168740e-03	2.510405455e-01
1.940267350e+09	7.186908590e-03	2.511674812e-01
1.940267500e+09	7.495699303e-03	2.516360673e-01
1.940267650e+09	6.554925912e-03	2.525718999e-01
1.940267800e+09	7.326416100e-03	2.515540406e-01
1.940267950e+09	5.966828100e-03	2.516146963e-01
1.940268100e+09	6.215792718e-03	2.500937269e-01
1.940268250e+09	6.943993130e-03	2.529083562e-01
1.940268400e+09	8.114919931e-03	2.510899591e-01
1.940268550e+09	1.014171713e-02	2.498058650e-01
1.940268700e+09	5.899067180e-03	2.507175152e-01
1.940268850e+09	7.316215154e-03	2.512854788e-01
1.940269000e+09	8.002614107e-03	2.523093869e-01
1.940269150e+09	6.691339195e-03	2.510188774e-01
1.940269300e+09	8.833274970e-03	2.505971065e-01
1.940269450e+09	6.574347502e-03	2.492503350e-01
1.940269600e+09	6.676478613e-03	2.511603078e-01
1.940269750e+09	6.603741821e-03	2.515392548e-01
1.940269900e+09	6.418017393e-03	2.497188057e-01
1.940270050e+09	7.865739185e-03	2.515603680e-01
1.940270200e+09	6.231787455e-03	2.517371795e-01
1.940270350e+09	6.181674181e-03	2.524058864e-01
1.940270500e+09	7.954954788e-03	2.510496942e-01
1.940270650e+09	7.877694532e-03	2.509268448e-01
1.940270800e+09	6.482332000e-03	2.525750921e-01
1.940270950e+09	8.163069542e-03	2.522521775e-01
1.940271100e+09	7.933019322e-03	2.502373450e-01
1.940271250e+09	7.165481328e-03	2.503337081e-01
1.940271400e+09	7.715371305e-03	2.524624627e-01
1.940271550e+09	5.356888822e-03	2.514119145e-01
1.940271700e+09	6.574213061e-03	2.509029816e-01
1.940271850e+09	7.598885700e-03	2.526749506e-01
1.940272000e+09	7.408995156e-03	2.498575139e-01
1.940272150e+09	7.935042418e-03	2.522140280e-01
1.940272300e+09	7.625850075e-03	2.507348090e-01
1.940272450e+09	7.577217765e-03	2.505319262e-01
1.940272600e+09	7.454314581e-03	2.489909348e-01
1.940272750e+09	5.931131962e-03	2.503143134e-01
1.940272900e+09	6.998708832e-03	2.517598139e-01
1.940273050e+09	8.184737830e-03	2.517215915e-01
1.940273200e+09	8.513689105e-03	2.508276072e-01
