# Source ADC	Temp 100.0 mK	PDUT -80.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1944	PSG 4.5	PRF -4.0
# AttVDUT 12006210005 30.5 dB	AttVIQ 12201130093 26.75 dB
# LOAtt 4.5 dB	InAtt 12.0 dB	OutAtt 7.1 dB
# LNA 30.0 dB	RTA 80.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 10.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
1.9402990e+09	1.1230990e-01	-6.9728710e-01
1.9402996e+09	1.1218465e-01	-6.9746303e-01
1.9403002e+09	1.1228126e-01	-6.9740905e-01
1.9403008e+09	1.1220034e-01	-6.9751376e-01
1.9403014e+09	1.1168531e-01	-6.9736458e-01
1.9403020e+09	1.1113134e-01	-6.9724025e-01
1.9403026e+09	1.1099419e-01	-6.9736210e-01
1.9403032e+09	1.1067026e-01	-6.9731163e-01
1.9403038e+09	1.1060983e-01	-6.9738924e-01
1.9403044e+09	1.1067980e-01	-6.9765505e-01
1.9403050e+09	1.1001450e-01	-6.9746727e-01
1.9403056e+09	1.0973729e-01	-6.9749976e-01
1.9403062e+09	1.0975164e-01	-6.9763019e-01
1.9403068e+09	1.0935125e-01	-6.9767853e-01
1.9403074e+09	1.0910613e-01	-6.9765295e-01
1.9403080e+09	1.0865385e-01	-6.9753990e-01
1.9403086e+09	1.0867388e-01	-6.9770237e-01
1.9403092e+09	1.0873481e-01	-6.9774913e-01
1.9403098e+09	1.0831717e-01	-6.9781414e-01
1.9403104e+09	1.0802443e-01	-6.9773572e-01
1.9403110e+09	1.0752794e-01	-6.9771390e-01
1.9403116e+09	1.0753927e-01	-6.9774116e-01
1.9403122e+09	1.0711814e-01	-6.9788401e-01
1.9403128e+09	1.0664075e-01	-6.9783980e-01
1.9403134e+09	1.0656941e-01	-6.9783726e-01
1.9403140e+09	1.0667171e-01	-6.9794123e-01
1.9403146e+09	1.0623202e-01	-6.9803135e-01
1.9403152e+09	1.0578048e-01	-6.9805277e-01
1.9403158e+09	1.0541575e-01	-6.9787082e-01
1.9403164e+09	1.0543432e-01	-6.9799499e-01
1.9403170e+09	1.0504814e-01	-6.9782024e-01
1.9403176e+09	1.0455573e-01	-6.9788463e-01
1.9403182e+09	1.0474623e-01	-6.9795986e-01
1.9403188e+09	1.0437372e-01	-6.9805982e-01
1.9403194e+09	1.0429837e-01	-6.9821893e-01
1.9403200e+09	1.0391991e-01	-6.9801880e-01
1.9403206e+09	1.0335432e-01	-6.9788418e-01
1.9403212e+09	1.0347799e-01	-6.9825030e-01
1.9403218e+09	1.0356489e-01	-6.9809293e-01
1.9403224e+09	1.0281868e-01	-6.9824192e-01
1.9403230e+09	1.0261597e-01	-6.9833182e-01
1.9403236e+09	1.0234978e-01	-6.9817004e-01
1.9403242e+09	1.0214016e-01	-6.9811668e-01
1.9403248e+09	1.0214642e-01	-6.9837476e-01
1.9403254e+09	1.0187025e-01	-6.9818768e-01
1.9403260e+09	1.0138249e-01	-6.9836130e-01
1.9403266e+09	1.0131502e-01	-6.9844568e-01
1.9403272e+09	1.0115244e-01	-6.9827043e-01
1.9403278e+09	1.0099812e-01	-6.9823092e-01
1.9403284e+09	1.0046199e-01	-6.9828144e-01
1.9403290e+09	9.9973302e-02	-6.9840773e-01
1.9403296e+09	9.9838936e-02	-6.9823521e-01
1.9403302e+09	9.9791731e-02	-6.9860680e-01
1.9403308e+09	9.9648427e-02	-6.9833452e-01
1.9403314e+09	9.9458184e-02	-6.9836536e-01
1.9403320e+09	9.9067707e-02	-6.9842517e-01
1.9403326e+09	9.8847905e-02	-6.9861622e-01
1.9403332e+09	9.8685889e-02	-6.9852229e-01
1.9403338e+09	9.8595800e-02	-6.9857952e-01
1.9403344e+09	9.8153424e-02	-6.9854361e-01
1.9403350e+09	9.7893711e-02	-6.9867678e-01
1.9403356e+09	9.7529745e-02	-6.9853803e-01
1.9403362e+09	9.7455686e-02	-6.9873095e-01
1.9403368e+09	9.7216742e-02	-6.9875641e-01
1.9403374e+09	9.7158692e-02	-6.9870168e-01
1.9403380e+09	9.6693538e-02	-6.9855608e-01
1.9403386e+09	9.6327023e-02	-6.9867570e-01
1.9403392e+09	9.6198222e-02	-6.9868997e-01
1.9403398e+09	9.5992285e-02	-6.9866601e-01
1.9403404e+09	9.5551973e-02	-6.9862527e-01
1.9403410e+09	9.5685904e-02	-6.9884997e-01
1.9403416e+09	9.5248765e-02	-6.9883907e-01
1.9403422e+09	9.5162914e-02	-6.9879030e-01
1.9403428e+09	9.4538465e-02	-6.9869908e-01
1.9403434e+09	9.4605876e-02	-6.9900155e-01
1.9403440e+09	9.4450580e-02	-6.9899821e-01
1.9403446e+09	9.3883993e-02	-6.9867367e-01
1.9403452e+09	9.3596439e-02	-6.9884378e-01
1.9403458e+09	9.3368024e-02	-6.9880462e-01
1.9403464e+09	9.3400182e-02	-6.9892078e-01
1.9403470e+09	9.3034609e-02	-6.9886225e-01
